date,store_nbr,item_nbr,units
2012/1/1,1,1,0
2012/1/1,1,2,0
2012/1/1,1,3,0
2012/1/1,1,4,0
2012/1/1,1,5,0
2012/1/1,1,6,0
2012/1/1,1,7,0
2012/1/1,1,8,0
2012/1/1,1,9,29
2012/1/1,1,10,0
2012/1/1,1,11,0
2012/1/1,1,12,0
2012/1/1,1,13,0
2012/1/1,1,14,0
2012/1/1,1,15,0
2012/1/1,1,16,0
2012/1/1,1,17,0
2012/1/1,1,18,0
2012/1/1,1,19,0
2012/1/1,1,20,0
2012/1/1,1,21,0
2012/1/1,1,22,0
2012/1/1,1,23,0
2012/1/1,1,24,0
2012/1/1,1,25,0
2012/1/1,1,26,0
2012/1/1,1,27,0
2012/1/1,1,28,2
2012/1/1,1,29,0
2012/1/1,1,30,0
2012/1/1,1,31,0
2012/1/1,1,32,0
2012/1/1,1,33,0
2012/1/1,1,34,0
2012/1/1,1,35,0
2012/1/1,1,36,0
2012/1/1,1,37,0
2012/1/1,1,38,0
2012/1/1,1,39,0
2012/1/1,1,40,0
2012/1/1,1,41,0
2012/1/1,1,42,0
2012/1/1,1,43,0
2012/1/1,1,44,0
2012/1/1,1,45,0
2012/1/1,1,46,0
2012/1/1,1,47,0
2012/1/1,1,48,0
2012/1/1,1,49,0
2012/1/1,1,50,0
2012/1/1,1,51,1
2012/1/1,1,52,0
2012/1/1,1,53,0
2012/1/1,1,54,0
2012/1/1,1,55,0
2012/1/1,1,56,0
2012/1/1,1,57,0
2012/1/1,1,58,0
2012/1/1,1,59,0
2012/1/1,1,60,0
2012/1/1,1,61,0
2012/1/1,1,62,0
2012/1/1,1,63,0
2012/1/1,1,64,0
2012/1/1,1,65,0
2012/1/1,1,66,0
2012/1/1,1,67,0
2012/1/1,1,68,0
2012/1/1,1,69,0
2012/1/1,1,70,0
2012/1/1,1,71,0
2012/1/1,1,72,0
2012/1/1,1,73,0
2012/1/1,1,74,0
2012/1/1,1,75,0
2012/1/1,1,76,0
2012/1/1,1,77,0
2012/1/1,1,78,0
2012/1/1,1,79,0
2012/1/1,1,80,0
2012/1/1,1,81,0
2012/1/1,1,82,0
2012/1/1,1,83,0
2012/1/1,1,84,0
2012/1/1,1,85,0
2012/1/1,1,86,0
2012/1/1,1,87,0
2012/1/1,1,88,0
2012/1/1,1,89,0
2012/1/1,1,90,0
2012/1/1,1,91,0
2012/1/1,1,92,0
2012/1/1,1,93,0
2012/1/1,1,94,0
2012/1/1,1,95,0
2012/1/1,1,96,0
2012/1/1,1,97,0
2012/1/1,1,98,0
2012/1/1,1,99,0
2012/1/1,1,100,0
