,date2,holiday_name
0,2012-01-01,NewYearsDay
1,2012-01-16,MartinLutherKingDay
2,2012-02-14,ValentinesDay
3,2012-02-20,PresidentsDay
4,2012-04-08,EasterSunday
5,2012-05-13,MothersDay
6,2012-05-28,MemorialDay
7,2012-06-17,FathersDay
8,2012-07-04,IndependenceDay
9,2012-09-03,LaborDay
10,2012-10-08,ColumbusDay
11,2012-10-31,Halloween
12,2012-11-11,VeteransDay
13,2012-11-20,BlackFridayM3
14,2012-11-21,BlackFridayM2
15,2012-11-22,ThanksgivingDay
16,2012-11-23,BlackFriday
17,2012-11-24,BlackFriday1
18,2012-11-25,BlackFriday2
19,2012-11-26,BlackFriday3
20,2012-12-24,ChristmasEve
21,2012-12-25,ChristmasDay
22,2012-12-31,NewYearsEve
23,2013-01-01,NewYearsDay
24,2013-01-21,MartinLutherKingDay
25,2013-02-14,ValentinesDay
26,2013-02-18,PresidentsDay
27,2013-03-31,EasterSunday
28,2013-05-12,MothersDay
29,2013-05-27,MemorialDay
30,2013-06-16,FathersDay
31,2013-07-04,IndependenceDay
32,2013-09-02,LaborDay
33,2013-10-14,ColumbusDay
34,2013-10-31,Halloween
35,2013-11-11,VeteransDay
36,2013-11-26,BlackFridayM3
37,2013-11-27,BlackFridayM2
38,2013-11-28,ThanksgivingDay
39,2013-11-29,BlackFriday
40,2013-11-30,BlackFriday1
41,2013-12-01,BlackFriday2
42,2013-12-02,BlackFriday3
43,2013-12-24,ChristmasEve
44,2013-12-25,ChristmasDay
45,2013-12-31,NewYearsEve
46,2014-01-01,NewYearsDay
47,2014-01-20,MartinLutherKingDay
48,2014-02-14,ValentinesDay
49,2014-02-17,PresidentsDay
50,2014-04-20,EasterSunday
51,2014-05-11,MothersDay
52,2014-05-26,MemorialDay
53,2014-06-15,FathersDay
54,2014-07-04,IndependenceDay
55,2014-09-01,LaborDay
56,2014-10-13,ColumbusDay
57,2014-10-31,Halloween
