,date2
0,2012-01-01
1,2012-01-02
2,2012-01-16
3,2012-02-14
4,2012-02-20
5,2012-04-08
6,2012-05-13
7,2012-05-28
8,2012-06-17
9,2012-07-04
10,2012-09-03
11,2012-10-08
12,2012-10-31
13,2012-11-06
14,2012-11-11
15,2012-11-12
16,2012-11-22
17,2012-12-24
18,2012-12-25
19,2012-12-31
20,2013-01-01
21,2013-01-21
22,2013-02-14
23,2013-02-18
24,2013-03-31
25,2013-05-12
26,2013-05-27
27,2013-06-16
28,2013-07-04
29,2013-09-02
30,2013-10-14
31,2013-10-31
32,2013-11-11
33,2013-11-28
34,2013-12-24
35,2013-12-25
36,2013-12-31
37,2014-01-01
38,2014-01-20
39,2014-02-14
40,2014-02-17
41,2014-04-13
42,2014-04-20
43,2014-05-11
44,2014-05-26
45,2014-06-15
46,2014-07-04
47,2014-09-01
48,2014-10-13
49,2014-10-31
50,2014-11-11
51,2014-11-27
52,2014-12-24
53,2014-12-25
54,2014-12-31
