,date,store_nbr,item_nbr,units,date1j
8,2012-01-01,1,9,29,0
27,2012-01-01,1,28,2,0
50,2012-01-01,1,51,1,0
115,2012-01-01,2,5,191,0
154,2012-01-01,2,44,215,0
226,2012-01-01,3,5,214,0
266,2012-01-01,3,45,112,0
341,2012-01-01,4,9,61,0
359,2012-01-01,4,27,21,0
459,2012-01-01,5,16,24,0
475,2012-01-01,5,32,1,0
480,2012-01-01,5,37,16,0
563,2012-01-01,6,9,44,0
599,2012-01-01,6,45,86,0
670,2012-01-01,7,5,137,0
672,2012-01-01,7,7,2,0
688,2012-01-01,7,23,16,0
781,2012-01-01,8,5,38,0
799,2012-01-01,8,23,4,0
892,2012-01-01,9,5,131,0
897,2012-01-01,9,10,4,0
932,2012-01-01,9,45,72,0
980,2012-01-01,9,93,4,0
1003,2012-01-01,10,5,98,0
1035,2012-01-01,10,37,32,0
1091,2012-01-01,10,93,3,0
1118,2012-01-01,11,9,74,0
1177,2012-01-01,11,68,48,0
1236,2012-01-01,12,16,29,0
1257,2012-01-01,12,37,28,0
1299,2012-01-01,12,79,2,0
1313,2012-01-01,12,93,1,0
1336,2012-01-01,13,5,77,0
1367,2012-01-01,13,36,121,0
1377,2012-01-01,13,46,1,0
1451,2012-01-01,14,9,8,0
1492,2012-01-01,14,50,2,0
1512,2012-01-01,14,70,2,0
1558,2012-01-01,15,5,64,0
1570,2012-01-01,15,17,2,0
1598,2012-01-01,15,45,108,0
1602,2012-01-01,15,49,2,0
1680,2012-01-01,16,16,25,0
1689,2012-01-01,16,25,187,0
1784,2012-01-01,17,9,179,0
1812,2012-01-01,17,37,85,0
1823,2012-01-01,17,48,147,0
1891,2012-01-01,18,5,18,0
1923,2012-01-01,18,37,17,0
2013,2012-01-01,19,16,21,0
2080,2012-01-01,19,83,10,0
2113,2012-01-01,20,5,165,0
2149,2012-01-01,20,41,37,0
2182,2012-01-01,20,74,5,0
2224,2012-01-01,21,5,58,0
2263,2012-01-01,21,44,129,0
2339,2012-01-01,22,9,37,0
2398,2012-01-01,22,68,47,0
2423,2012-01-01,22,93,3,0
2446,2012-01-01,23,5,58,0
2470,2012-01-01,23,29,1,0
2486,2012-01-01,23,45,35,0
2558,2012-01-01,24,6,42,0
2595,2012-01-01,24,43,72,0
2612,2012-01-01,24,60,1,0
2672,2012-01-01,25,9,126,0
2708,2012-01-01,25,45,90,0
2744,2012-01-01,25,81,11,0
2779,2012-01-01,26,5,64,0
2819,2012-01-01,26,45,68,0
2894,2012-01-01,27,9,26,0
2953,2012-01-01,27,68,42,0
2965,2012-01-01,27,80,1,0
3001,2012-01-01,28,5,65,0
3041,2012-01-01,28,45,68,0
3115,2012-01-01,29,8,14,0
3148,2012-01-01,29,41,37,0
3152,2012-01-01,29,45,98,0
3234,2012-01-01,30,16,16,0
3262,2012-01-01,30,44,120,0
3267,2012-01-01,30,49,1,0
3269,2012-01-01,30,51,6,0
3338,2012-01-01,31,9,40,0
3374,2012-01-01,31,45,83,0
3449,2012-01-01,32,9,65,0
3485,2012-01-01,32,45,46,0
3498,2012-01-01,32,58,8,0
3560,2012-01-01,33,9,169,0
3595,2012-01-01,33,44,354,0
3636,2012-01-01,33,85,1,0
3643,2012-01-01,33,92,1,0
3671,2012-01-01,34,9,36,0
3693,2012-01-01,34,31,1,0
3707,2012-01-01,34,45,163,0
3714,2012-01-01,34,52,1,0
3782,2012-01-01,36,9,41,0
3817,2012-01-01,36,44,94,0
3889,2012-01-01,37,5,77,0
3929,2012-01-01,37,45,53,0
4004,2012-01-01,38,9,195,0
4040,2012-01-01,38,45,135,0
4115,2012-01-01,39,9,2,0
4142,2012-01-01,39,36,6,0
4222,2012-01-01,40,5,76,0
4262,2012-01-01,40,45,48,0
4268,2012-01-01,40,51,1,0
4344,2012-01-01,41,16,42,0
4396,2012-01-01,41,68,95,0
4444,2012-01-01,42,5,154,0
4484,2012-01-01,42,45,98,0
4566,2012-01-01,43,16,71,0
4587,2012-01-01,43,37,16,0
4666,2012-01-01,44,5,26,0
4729,2012-01-01,44,68,37,0
4781,2012-01-01,45,9,7,0
4892,2012-01-02,1,9,60,1
4911,2012-01-02,1,28,5,1
4934,2012-01-02,1,51,1,1
4999,2012-01-02,2,5,147,1
5005,2012-01-02,2,11,2,1
5038,2012-01-02,2,44,153,1
5110,2012-01-02,3,5,223,1
5150,2012-01-02,3,45,114,1
5225,2012-01-02,4,9,49,1
5243,2012-01-02,4,27,9,1
5343,2012-01-02,5,16,36,1
5347,2012-01-02,5,20,1,1
